button_pressed,high_stakes,initial_points,multiplier,points,responses,rt,states,stimulus,time_elapsed,times,trial_type,pid
,False,6.0,1.0,0.0,,,"[u'A,C::B', u'A,C:B:', u'A:B:C', u'A,B::C', u'A,B,C::', u'A,B::C', u'A:B:C', u':B,A:C', u':B:C,A', u'B::C,A', u':B:C,A', u':B,A:C', u'C:B,A:', u'C:B:A', u'C,B::A', u'C::A,B', u':C:A,B', u':C,B:A', u':C,B,A:']",,81312,"[2948, 4810, 5849, 7745, 15105, 16296, 19178, 20936, 22184, 24383, 25591, 27112, 29616, 31026, 33208, 35239, 36671, 38391]",blockworld,12
,True,39.0,3.0,9.0,,,"[u':A,B,D:C', u'D:A,B:C', u'D,B:A:C', u'D:A:C,B', u'D::C,B,A', u':D:C,B,A', u'A:D:C,B', u'A,B:D:C', u'A,B:D,C:', u'A:D,C,B:', u':D,C,B,A:']",,103744,"[8042, 9193, 11698, 13106, 14218, 16806, 17785, 18985, 20025, 21201]",blockworld,12
,False,22.0,1.0,10.0,,,"[u'E,C:B,A:D', u'E,C:B:D,A', u'E:B:D,A,C', u'E::D,A,C,B', u':E:D,A,C,B', u'B:E:D,A,C', u'B,C:E:D,A', u'B,C,A:E:D', u'B,C,A:E,D:', u'B,C:E,D:A', u'B:E,D,C:A', u':E,D,C,B:A', u':E,D,C,B,A:']",,130591,"[5748, 6949, 9364, 10693, 13053, 14277, 15388, 16796, 20451, 22187, 24421, 25836]",blockworld,12
,True,72.0,3.0,24.0,,,"[u'E,D::F,C,A,B', u'E,D,B::F,C,A', u'E,D,B,A::F,C', u'E,D,B,A,C::F', u'E,D,B,A,C:F:', u'E,D,B,A:F:C', u'E,D,B:F:C,A', u'E,D:F:C,A,B', u'E:F:C,A,B,D', u':F,E:C,A,B,D', u':F,E,D:C,A,B', u'B:F,E,D:C,A', u'B,A:F,E,D:C', u'B,A:F,E,D,C:', u'B:F,E,D,C:A', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,161701,"[5860, 6918, 10086, 11388, 13492, 14732, 15724, 16780, 18067, 19820, 21348, 22709, 24547, 26902, 28275, 29683]",blockworld,12
,True,48.0,3.0,6.0,,,"[u'F,C,B,A::D,E', u'F,C,B::D,E,A', u'F,C::D,E,A,B', u'F::D,E,A,B,C', u':F:D,E,A,B,C', u'C:F:D,E,A,B', u'C,B:F:D,E,A', u'C,B,A:F:D,E', u'C,B,A:F,E:D', u'C,B,A:F,E,D:', u'C,B:F,E,D:A', u'C:F,E,D:A,B', u':F,E,D,C:A,B', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,188918,"[6834, 7897, 8855, 9838, 11998, 13327, 14279, 15462, 19278, 20461, 21669, 22965, 24287, 26197]",blockworld,12
,False,22.0,1.0,3.0,,,"[u'F:B,D,A,C,E:', u'F:B,D,A,C:E', u'F:B,D,A:E,C', u'F:B,D:E,C,A', u'F:B:E,C,A,D', u'F::E,C,A,D,B', u':F:E,C,A,D,B', u'B:F:E,C,A,D', u'B,D:F:E,C,A', u'B,D,A:F:E,C', u'B,D,A,C:F:E', u'B,D,A,C:F,E:', u'B,D,A:F,E:C', u'B,D:F,E:C,A', u'B:F,E,D:C,A', u'B,A:F,E,D:C', u'B,A:F,E,D,C:', u'B:F,E,D,C:A', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,217812,"[3195, 4035, 4883, 6156, 7340, 8243, 10082, 11189, 12084, 13053, 15122, 17283, 18202, 19355, 22348, 24122, 25649, 26675, 27899]",blockworld,12
,False,17.0,1.0,5.0,,,"[u'F,E:B,D,C,A:', u'F,E:B,D,C:A', u'F,E:B,D:A,C', u'F,E:B:A,C,D', u'F,E::A,C,D,B', u'F::A,C,D,B,E', u':F:A,C,D,B,E', u':F,E:A,C,D,B', u'B:F,E:A,C,D', u'B:F,E,D:A,C', u'B:F,E,D,C:A', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,238415,"[4635, 5475, 6422, 7607, 9175, 10126, 11934, 14294, 15431, 16478, 18550, 19782]",blockworld,12
,False,18.0,1.0,4.0,,,"[u'F,E,C:B,A:D', u'F,E,C:B:D,A', u'F,E:B:D,A,C', u'F,E::D,A,C,B', u'F::D,A,C,B,E', u':F:D,A,C,B,E', u':F,E:D,A,C,B', u'B:F,E:D,A,C', u'B,C:F,E:D,A', u'B,C,A:F,E:D', u'B,C,A:F,E,D:', u'B,C:F,E,D:A', u'B:F,E,D,C:A', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,259309,"[3027, 4004, 5012, 7068, 7947, 9363, 10877, 11676, 13492, 14755, 16675, 17692, 18743, 19802]",blockworld,12
,True,60.0,3.0,0.0,,,"[u'E:B:F,C,D,A', u'E::F,C,D,A,B', u'E,B::F,C,D,A', u'E,B,A::F,C,D', u'E,B,A,D::F,C', u'E,B,A,D,C::F', u'E,B,A,D,C:F:', u'E,B,A,D:F:C', u'E,B,A:F:C,D', u'E,B:F:C,D,A', u'E:F:C,D,A,B', u':F,E:C,D,A,B', u'B:F,E:C,D,A', u'B,A:F,E:C,D', u'B,A,D:F,E:C', u'B,A,D:F,E,C:', u'B,A:F,E,C,D:', u'B:F,E,C,D:A', u':F,E,C,D,B:A', u':F,E,C,D,B,A:', u':F,E,C,D,B:A', u'B:F,E,C,D:A', u'B:F,E,C:A,D', u'B,C:F,E:A,D', u'B,C:F,E,D:A', u'B:F,E,D,C:A', u'B:F,E,D,C,A:', u':F,E,D,C,A,B:', u'B:F,E,D,C,A:', u'B:F,E,D,C:A', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,308605,"[4501, 6892, 7762, 8916, 9765, 10689, 11962, 13082, 14091, 15020, 16028, 18028, 19044, 19916, 21114, 22061, 23252, 24259, 25364, 32284, 33231, 34293, 35191, 36245, 38632, 39702, 41180, 44627, 45730, 46980, 48338]",blockworld,12
,False,24.0,1.0,6.0,,,"[u'F,B:D,A,C,E:', u'F,B,E:D,A,C:', u'F,B,E:D,A:C', u'F,B,E:D:C,A', u'F,B:D:C,A,E', u'F:D:C,A,E,B', u'F::C,A,E,B,D', u':F:C,A,E,B,D', u'D:F:C,A,E,B', u'D,B:F:C,A,E', u'D,B:F,E:C,A', u'D:F,E:C,A,B', u':F,E,D:C,A,B', u'B:F,E,D:C,A', u'B,A:F,E,D:C', u'B,A:F,E,D,C:', u'B:F,E,D,C:A', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,334660,"[3999, 4724, 5620, 6893, 7805, 9351, 10188, 11075, 11989, 13370, 15526, 16509, 17877, 18764, 20483, 22412, 23516, 24931]",blockworld,12
,False,24.0,1.0,8.0,,,"[u':A,C,E,F:D,B', u'F:A,C,E:D,B', u'F,B:A,C,E:D', u'F,B:A,C:D,E', u'F,B:A:D,E,C', u'F:A:D,E,C,B', u'F::D,E,C,B,A', u':F:D,E,C,B,A', u'A:F:D,E,C,B', u'A,B:F:D,E,C', u'A,B,C:F:D,E', u'A,B,C,E:F:D', u'A,B,C:F,E:D', u'A,B,C:F,E,D:', u'A,B:F,E,D,C:', u'A:F,E,D,C,B:', u':F,E,D,C,B,A:']",,362941,"[7668, 9142, 11078, 11912, 12808, 13727, 14751, 15799, 16607, 17409, 18317, 20614, 21736, 22624, 23767, 26686]",blockworld,12
,False,17.0,1.0,3.0,,,"[u'F,E,A:B,C:D', u'F,E,A:B:D,C', u'F,E:B:D,C,A', u'F:B:D,C,A,E', u'F::D,C,A,E,B', u':F:D,C,A,E,B', u'B:F:D,C,A,E', u'B:F,E:D,C,A', u'B,A:F,E:D,C', u'B,A,C:F,E:D', u'B,A,C:F,E,D:', u'B,A:F,E,D,C:', u'B:F,E,D,C:A', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,380995,"[3095, 3903, 5023, 5957, 6781, 7709, 8700, 9862, 10654, 11812, 12948, 14197, 15447, 16716]",blockworld,12
,False,20.0,1.0,0.0,,,"[u'E:C:F,B,A,D', u'E::F,B,A,D,C', u':E:F,B,A,D,C', u'C:E:F,B,A,D', u'C,D:E:F,B,A', u'C,D,A:E:F,B', u'C,D,A,B:E:F', u'C,D,A,B:E,F:', u'C,D,A:E,F:B', u'C,D:E,F:B,A', u'C:E,F:B,A,D', u':E,F,C:B,A,D', u'C:E,F:B,A,D', u'C:E,F,D:B,A', u':E,F,D,C:B,A', u'A:E,F,D,C:B', u'A:E,F,D,C,B:', u':E,F,D,C,B,A:', u':E,F,D,C,B:A', u':E,F,D,C:A,B', u':E,F,D:A,B,C', u':E,F:A,B,C,D', u'F:E:A,B,C,D', u'F,E::A,B,C,D', u'F::A,B,C,D,E', u':F:A,B,C,D,E', u':F,E:A,B,C,D', u':F,E,D:A,B,C', u':F,E,D,C:A,B', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,424373,"[3013, 4198, 5909, 6881, 7631, 8591, 9557, 10438, 11231, 13070, 14141, 16672, 17637, 18644, 19790, 21085, 22509, 30104, 30960, 31760, 32690, 33641, 34479, 36257, 37231, 38182, 39047, 39848, 40648, 42111]",blockworld,12
,True,60.0,3.0,0.0,,,"[u'E:C,A,D:F,B', u'E:C,A:F,B,D', u'E:C:F,B,D,A', u'E,A:C:F,B,D', u'E,A,D:C:F,B', u'E,A,D,B:C:F', u'E,A,D,B,C::F', u'E,A,D,B,C:F:', u'E,A,D,B:F:C', u'E,A,D:F:C,B', u'E,A:F:C,B,D', u'E:F:C,B,D,A', u':F,E:C,B,D,A', u'A:F,E:C,B,D', u'A,D:F,E:C,B', u'A,D,B:F,E:C', u'A,D:F,E:C,B', u'A:F,E,D:C,B', u'A,B:F,E,D:C', u'A,B:F,E,D,C:', u'A:F,E,D,C,B:', u':F,E,D,C,B,A:']",,461395,"[10534, 12491, 13581, 14300, 15357, 16637, 18780, 19916, 21092, 22076, 23094, 24339, 25468, 26409, 27741, 29946, 30860, 32070, 33364, 34324, 36035]",blockworld,12
