bonus,completed,pid,version
2.69,True,0,1.3
2.92,True,1,1.3
0.0,False,2,1.3
3.3,True,3,1.3
3.35,True,4,1.3
3.17,True,5,1.3
3.38,True,6,1.3
0.0,False,7,1.3
3.62,True,8,1.3
0.0,False,9,1.3
3.4,True,10,1.3
3.52,True,11,1.3
0.0,False,12,1.3
3.43,True,13,1.3
3.13,True,14,1.3
2.92,True,15,1.3
0.0,False,16,1.3
3.07,True,17,1.3
3.49,True,18,1.3
2.76,True,19,1.3
3.45,True,20,1.3
3.31,True,21,1.3
3.69,True,22,1.3
2.86,True,23,1.3
2.85,True,24,1.3
2.59,True,25,1.3
2.94,True,26,1.3
3.72,True,27,1.3
3.14,True,28,1.3
0.0,False,29,1.3
3.39,True,30,1.3
3.53,True,31,1.3
3.01,True,32,1.3
3.33,True,33,1.3
0.0,False,34,1.3
3.56,True,35,1.3
3.6,True,36,1.3
2.39,True,37,1.3
3.91,True,38,1.3
2.99,True,39,1.3
2.83,True,40,1.3
2.8,True,41,1.3
2.31,True,42,1.3
3.81,True,43,1.3
3.73,True,44,1.3
2.58,True,45,1.3
2.63,True,46,1.3
