button_pressed,high_stakes,initial_points,multiplier,points,responses,rt,states,stimulus,time_elapsed,times,trial_type,pid
,False,6.0,1.0,2.0,,,"[u'A,C::B', u'A::B,C', u'A:C:B', u'A:C,B:', u':C,B,A:']",,90631,"[5339, 9995, 12399, 13788]",blockworld,20
,True,54.0,3.0,21.0,,,"[u':A,B,D:C', u'D:A,B:C', u'D,C:A,B:', u'D,C:A:B', u'D,C::B,A', u'D::B,A,C', u':D:B,A,C', u'C:D:B,A', u':D,C:B,A', u'A:D,C:B', u'A:D,C,B:', u':D,C,B,A:']",,133077,"[7684, 11004, 12862, 14729, 25420, 27419, 28769, 33531, 36588, 38011, 39552]",blockworld,20
,False,22.0,1.0,9.0,,,"[u'E,C:B,A:D', u'E,C:B:D,A', u'E,C::D,A,B', u'E::D,A,B,C', u':E:D,A,B,C', u'C:E:D,A,B', u'C,B:E:D,A', u'C,B,A:E:D', u'C,B,A:E,D:', u'C,B:E,D:A', u'C:E,D:A,B', u':E,D,C:A,B', u':E,D,C,B:A', u':E,D,C,B,A:']",,166216,"[5549, 8835, 11402, 13028, 14695, 17520, 21975, 23500, 25402, 27002, 28342, 29451, 31140]",blockworld,20
,False,22.0,1.0,7.0,,,"[u'E:D,B,A,C:F', u':D,B,A,C:F,E', u'C:D,B,A:F,E', u'C,A:D,B:F,E', u'C,A,B:D:F,E', u'C,A,B,D::F,E', u'C,A,B,D,E::F', u'C,A,B,D,E:F:', u'C,A,B,D:F,E:', u'C,A,B:F,E,D:', u'C,A:F,E,D:B', u'C:F,E,D:B,A', u':F,E,D,C:B,A', u'A:F,E,D,C:B', u'A:F,E,D,C,B:', u':F,E,D,C,B,A:']",,211404,"[5064, 10678, 15925, 18582, 20763, 23127, 24841, 26560, 28280, 30831, 32534, 35759, 37794, 39031, 42474]",blockworld,20
,False,20.0,1.0,6.0,,,"[u'E:B:F,C,D,A', u'E:B,A:F,C,D', u'E,D:B,A:F,C', u'E,D,C:B,A:F', u'E,D,C,F:B,A:', u'E,D,C,F:B:A', u'E,D,C,F::A,B', u'E,D,C:F:A,B', u'E,D:F:A,B,C', u'E:F:A,B,C,D', u':F,E:A,B,C,D', u':F,E,D:A,B,C', u':F,E,D,C:A,B', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,254522,"[10521, 16204, 21236, 25353, 28154, 29359, 30803, 32869, 34291, 35518, 37286, 38675, 40051, 41448]",blockworld,20
,False,19.0,1.0,0.0,,,"[u'F,C,D,A:B:E', u'F,C,D,A::E,B', u'F,C,D::E,B,A', u'F,C::E,B,A,D', u'F::E,B,A,D,C', u':F:E,B,A,D,C', u':F,C:E,B,A,D', u'D:F,C:E,B,A', u'D:F,C,A:E,B', u'D,B:F,C,A:E', u'D,B,A:F,C:E', u'D,B,A,C:F:E', u'D,B,A,C:F,E:', u'D,B,A:F,E:C', u'D,B:F,E:C,A', u'D:F,E:C,A,B', u':F,E,D:C,A,B', u'B:F,E,D:C,A', u'B,A:F,E,D:C', u'B,A:F,E,D,C:', u'B:F,E,D,C:A', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,346254,"[8350, 29817, 31324, 32685, 34108, 44352, 46403, 48547, 51002, 53620, 55187, 56578, 60231, 61675, 63197, 64781, 67566, 69913, 71103, 87380, 88740, 90037]",blockworld,20
,True,60.0,3.0,12.0,,,"[u'F,C,E:A:D,B', u'F,C,E::D,B,A', u'F,C:E:D,B,A', u'F:E:D,B,A,C', u'F::D,B,A,C,E', u':F:D,B,A,C,E', u':F,E:D,B,A,C', u'C:F,E:D,B,A', u'C:F,E,A:D,B', u'C,B:F,E,A:D', u'C,B,A:F,E:D', u'C,B,A:F,E,D:', u'C,B:F,E,D:A', u'C:F,E,D:A,B', u':F,E,D,C:A,B', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,389119,"[5704, 13850, 15170, 17836, 19464, 21267, 23523, 26746, 28413, 31800, 33152, 34926, 36470, 37551, 38600, 41135]",blockworld,20
,False,18.0,1.0,4.0,,,"[u'F,E,C:B,A:D', u'F,E:B,A:D,C', u'F,E:B:D,C,A', u'F,E::D,C,A,B', u'F::D,C,A,B,E', u':F:D,C,A,B,E', u':F,E:D,C,A,B', u'B:F,E:D,C,A', u'B,A:F,E:D,C', u'B,A,C:F,E:D', u'B,A,C:F,E,D:', u'B,A:F,E,D,C:', u'B:F,E,D,C:A', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,436094,"[14705, 20792, 26334, 28615, 30043, 31125, 33347, 35679, 37767, 39101, 40791, 42313, 43578, 44897]",blockworld,20
,False,24.0,1.0,6.0,,,"[u'F,B:C,A,D:E', u'F,B,D:C,A:E', u'F,B,D:C,A,E:', u'F,B:C,A,E:D', u'F,B:C,A:D,E', u'F,B,A:C:D,E', u'F,B,A::D,E,C', u'F,B:A:D,E,C', u'F:A:D,E,C,B', u'F::D,E,C,B,A', u':F:D,E,C,B,A', u'A:F:D,E,C,B', u'A,B:F:D,E,C', u'A,B,C:F:D,E', u'A,B,C:F,E:D', u'A,B,C:F,E,D:', u'A,B:F,E,D,C:', u'A:F,E,D,C,B:', u':F,E,D,C,B,A:']",,504406,"[18188, 20526, 22122, 24355, 27864, 29532, 33300, 34461, 35718, 50230, 57224, 58799, 60479, 62232, 63658, 64811, 66017, 67050]",blockworld,20
,False,17.0,1.0,3.0,,,"[u'F,E,A:B,C:D', u'F,E,A:B:D,C', u'F,E:B:D,C,A', u'F,E::D,C,A,B', u'F::D,C,A,B,E', u':F:D,C,A,B,E', u':F,E:D,C,A,B', u'B:F,E:D,C,A', u'B,A:F,E:D,C', u'B,A,C:F,E:D', u'B,A,C:F,E,D:', u'B,A:F,E,D,C:', u'B:F,E,D,C:A', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,546279,"[14618, 16407, 18702, 20636, 22219, 24206, 27071, 28799, 29758, 30986, 34236, 35723, 36843, 39991]",blockworld,20
