button_pressed,responses,rt,states,stimulus,time_elapsed,times,trial_type,pid
,,,"[u'F,E,C:B,A:D', u'F,E,C:B:D,A', u'F,E:B:D,A,C', u'F:B:D,A,C,E', u'F::D,A,C,E,B', u':F:D,A,C,E,B', u'B:F:D,A,C,E', u'B:F,E:D,A,C', u'B,C:F,E:D,A', u'B,C,A:F,E:D', u'B,C,A:F,E,D:', u'B,C:F,E,D:A', u'B:F,E,D,C:A', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,808227,"[2300, 3033, 4193, 5153, 6028, 6913, 7969, 8848, 9729, 10771, 11776, 12712, 13672, 14559]",blockworld,5
,,,"[u'E:D,B,A,C:F', u'E,C:D,B,A:F', u'E,C,A:D,B:F', u'E,C,A,B:D:F', u'E,C,A,B,D::F', u'E,C,A,B,D:F:', u'E,C,A,B:F:D', u'E,C,A:F:D,B', u'E,C:F:D,B,A', u'E:F:D,B,A,C', u':F,E:D,B,A,C', u'C:F,E:D,B,A', u'C,A:F,E:D,B', u'C,A,B:F,E:D', u'C,A,B:F,E,D:', u'C,A:F,E,D:B', u'C:F,E,D:B,A', u':F,E,D,C:B,A', u'A:F,E,D,C:B', u'A:F,E,D,C,B:', u':F,E,D,C,B,A:']",,861345,"[30333, 31014, 32260, 34102, 34797, 35948, 37094, 37691, 38375, 39192, 40171, 41491, 42187, 43019, 46244, 47109, 49677, 50546, 51517, 52458]",blockworld,5
,,,"[u'E:C:F,B,A,D', u':C:F,B,A,D,E', u'C::F,B,A,D,E', u'C,E::F,B,A,D', u'C:E:F,B,A,D', u'C,D:E:F,B,A', u'C,D,A:E:F,B', u'C,D,A,B:E:F', u'C,D,A,B,E::F', u'C,D,A,B,E:F:', u'C,D,A,B:F,E:', u'C,D,A:F,E:B', u'C,D:F,E:B,A', u'C:F,E,D:B,A', u':F,E,D,C:B,A', u'A:F,E,D,C:B', u'A:F,E,D,C,B:', u':F,E,D,C,B,A:']",,881593,"[2301, 3096, 4830, 6301, 7229, 8044, 10006, 11005, 12180, 13424, 14520, 15361, 15992, 16807, 17649, 18471, 19483]",blockworld,5
,,,"[u'F,D:B,C:E,A', u'F,D:B:E,A,C', u'F:B:E,A,C,D', u'F::E,A,C,D,B', u':F:E,A,C,D,B', u'B:F:E,A,C,D', u'B:F,D:E,A,C', u'B,C:F,D:E,A', u'B,C,A:F,D:E', u'B,C,A,D:F:E', u'B,C,A,D:F,E:', u'B,C,A:F,E,D:', u'B,C:F,E,D:A', u'B:F,E,D,C:A', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,899883,"[3661, 4381, 5181, 5878, 6892, 8972, 10774, 11700, 12546, 13412, 14252, 15059, 15745, 16578, 17378]",blockworld,5
,,,"[u'F,E,A:B,C:D', u'F,E,A,C:B:D', u'F,E,A:B:D,C', u'F,E,A:B,C:D', u'F,E:B,C:D,A', u'F,E:B:D,A,C', u'F:B:D,A,C,E', u'F::D,A,C,E,B', u':F:D,A,C,E,B', u'B:F:D,A,C,E', u'B:F,E:D,A,C', u'B,C:F,E:D,A', u'B,C,A:F,E:D', u'B,C,A:F,E,D:', u'B,C:F,E,D:A', u'B:F,E,D,C:A', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,921729,"[2659, 4632, 6233, 7040, 8491, 9377, 10541, 11650, 13037, 14076, 14903, 15947, 16784, 17787, 18547, 19331, 20650]",blockworld,5
,,,"[u'F,B:C,A,D:E', u'F,B:C,A:E,D', u'F,B:C:E,D,A', u'F:C:E,D,A,B', u'F::E,D,A,B,C', u':F:E,D,A,B,C', u':F,C:E,D,A,B', u':F,C,B:E,D,A', u':F,C,B,A:E,D', u'A:F,C,B:E,D', u'A,B:F,C:E,D', u'A,B,C:F:E,D', u'A,B,C,D:F:E', u'A,B,C,D:F,E:', u'A,B,C:F,E,D:', u'A,B:F,E,D,C:', u'A:F,E,D,C,B:', u':F,E,D,C,B,A:']",,939366,"[1774, 2294, 3205, 3816, 4621, 6928, 7727, 8293, 11493, 12263, 12782, 13590, 14255, 14973, 15653, 16239, 16846]",blockworld,5
,,,"[u'F,E:B,D,C,A:', u'F,E:B,D,C:A', u'F,E,C:B,D:A', u'F,E,C,D:B:A', u'F,E,C,D::A,B', u'F,E,C:D:A,B', u'F,E:D:A,B,C', u'F,E::A,B,C,D', u'F::A,B,C,D,E', u':F:A,B,C,D,E', u':F,E:A,B,C,D', u':F,E,D:A,B,C', u':F,E,D,C:A,B', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,958696,"[7254, 8154, 8796, 9663, 11822, 12401, 13160, 13909, 14642, 15753, 16428, 17097, 17791, 18418]",blockworld,5
,,,"[u'F,C,B,A::D,E', u'F,C,B,A,E::D', u'F,C,B,A::D,E', u'F,C,B::D,E,A', u'F,C::D,E,A,B', u'F::D,E,A,B,C', u':F:D,E,A,B,C', u'C:F:D,E,A,B', u'C,B:F:D,E,A', u'C,B,A:F:D,E', u'C,B,A:F,E:D', u'C,B,A:F,E,D:', u'C,B:F,E,D:A', u'C:F,E,D:A,B', u':F,E,D,C:A,B', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,979885,"[6383, 7710, 9078, 10489, 11239, 12005, 13894, 14637, 15342, 16045, 16752, 17621, 18696, 19301, 19879, 20428]",blockworld,5
,,,"[u'E:B:F,C,D,A', u'E::F,C,D,A,B', u'E,B::F,C,D,A', u'E,B,A::F,C,D', u'E,B,A,D::F,C', u'E,B,A,D,C::F', u'E,B,A,D,C:F:', u'E,B,A,D:F:C', u'E,B,A:F:C,D', u'E,B:F:C,D,A', u'E:F:C,D,A,B', u':F,E:C,D,A,B', u'B:F,E:C,D,A', u'B,A:F,E:C,D', u'B,A:F,E,D:C', u'B,A:F,E,D,C:', u'B:F,E,D,C:A', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,1001375,"[1968, 7747, 8452, 9047, 9694, 10482, 11547, 13079, 13943, 14561, 15297, 16254, 16894, 17800, 18522, 19253, 20095, 20619]",blockworld,5
,,,"[u'A,C::B', u'A::B,C', u':A:B,C', u'C:A:B', u'C::B,A', u':C:B,A', u'::B,A,C', u':C:B,A', u'A:C:B', u'A:C,B:', u':C,B,A:']",,548352,"[5516, 24888, 28691, 30265, 32730, 40549, 45657, 46771, 59235, 60675]",blockworld,4
,,,"[u':B:D,A,C', u':B,C:D,A', u'A:B,C:D', u'A:B:D,C', u'A::D,C,B', u'::D,C,B,A', u'A::D,C,B', u'A,B::D,C', u'A,B,C::D', u'A,B,C:D:', u'A,B:D,C:', u'A:D,C,B:', u':D,C,B,A:']",,585163,"[10626, 11607, 12899, 14102, 14958, 25297, 26895, 28245, 29292, 32419, 33207, 35411]",blockworld,4
