button_pressed,responses,rt,states,stimulus,time_elapsed,times,trial_type,pid
,,,"[u':C,B:A', u':C,B,A:']",,42447,[2641],blockworld,1
,,,"[u':B,D,A:C', u':B,D,A,C:', u'C:B,D,A:', u'C,A:B,D:', u'C,A:B:D', u'C:B,A:D', u'C,A:B:D', u'C,A::D,B', u'C::D,B,A', u'C,A::D,B', u'C,A,B::D', u'C,A,B:D:', u'C,A:D,B:', u'C:D,B:A', u'C:D:A,B', u':D,C:A,B', u':D,C,B:A', u':D,C,B,A:']",,110394,"[8282, 21972, 23209, 24745, 28025, 30305, 31586, 34177, 40937, 47753, 50120, 54025, 57440, 63033, 64274, 65489, 66986]",blockworld,1
,,,"[u'C:A,E,B,D:', u'C:A,E,B:D', u':A,E,B:D,C', u':A,E:D,C,B', u':A:D,C,B,E', u'A::D,C,B,E', u'A:E:D,C,B', u'A,B:E:D,C', u'A,B,C:E:D', u'A,B,C:E,D:', u'A,B:E,D,C:', u'A:E,D,C,B:', u':E,D,C,B,A:']",,142769,"[7094, 9246, 12341, 16638, 17918, 19870, 21902, 24126, 26046, 27381, 29069, 30886]",blockworld,1
,,,"[u'E:C,B,A:D', u'E:C,B:D,A', u'E:C:D,A,B', u'E::D,A,B,C', u':E:D,A,B,C', u'C:E:D,A,B', u'C,B:E:D,A', u'C,B,A:E:D', u'C,B,A:E,D:', u'C,B:E,D:A', u'C:E,D:A,B', u':E,D,C:A,B', u':E,D,C,B:A', u':E,D,C,B,A:']",,170177,"[7788, 8967, 9646, 11694, 13893, 14972, 16524, 17684, 19612, 21791, 23243, 24735, 26350]",blockworld,1
,,,"[u'E,B:C,A,D:', u'E:C,A,D:B', u'E,D:C,A:B', u'E,D:C:B,A', u'E,D,C::B,A', u'E,D,C,A::B', u'E,D,C,A,B::', u'E,D,C,A:B:', u'E,D,C:B:A', u'E,D,C,B::A', u'E,D,C,B,A::', u'E,D,C,B::A', u'E,D,C::A,B', u'E,D::A,B,C', u'E::A,B,C,D', u':E:A,B,C,D', u':E,D:A,B,C', u':E,D,C:A,B', u':E,D,C,B:A', u':E,D,C,B,A:']",,215471,"[8210, 9302, 11774, 13726, 17814, 22374, 24937, 26255, 27399, 28653, 33805, 35524, 36855, 37869, 39134, 40621, 41582, 42669, 44157]",blockworld,1
,,,"[u'D,B:A,E,C:', u'D,B,C:A,E:', u'D,B,C:A:E', u'D,B:A,C:E', u'D:A,C,B:E', u':A,C,B:E,D', u':A,C:E,D,B', u'C:A:E,D,B', u'C,B:A:E,D', u'C,B,A::E,D', u'C,B,A,D::E', u'C,B,A,D:E:', u'C,B,A:E,D:', u'C,B:E,D:A', u'C:E,D:A,B', u':E,D,C:A,B', u':E,D,C,B:A', u':E,D,C,B,A:']",,253361,"[5625, 7687, 10001, 11280, 13344, 17098, 18385, 20592, 22137, 24115, 24897, 27344, 28969, 32572, 34233, 35504, 36928]",blockworld,1
,,,"[u'E,A:C,B:D', u'E:C,B:D,A', u'E:C,B,A:D', u'E,D:C,B,A:', u'E,D,A:C,B:', u'E,D,A,B:C:', u'E,D,A,B,C::', u'E,D,A,B::C', u'E,D,A::C,B', u'E,D::C,B,A', u'E::C,B,A,D', u':E:C,B,A,D', u':E,D:C,B,A', u'A:E,D:C,B', u'A,B:E,D:C', u'A,B:E,D,C:', u'A:E,D,C,B:', u':E,D,C,B,A:']",,292643,"[5159, 8151, 11223, 13738, 14840, 16159, 19078, 22752, 23646, 27248, 29318, 30814, 32227, 33634, 35049, 36480, 37784]",blockworld,1
,,,"[u'E,D:C,A,B:', u'E,D,B:C,A:', u'E,D,B:C:A', u'E,D,B::A,C', u'E,D::A,C,B', u'E::A,C,B,D', u':E:A,C,B,D', u':E,D:A,C,B', u'B:E,D:A,C', u'B:E,D,C:A', u':E,D,C,B:A', u':E,D,C,B,A:']",,314577,"[5565, 7782, 8518, 10686, 12053, 13390, 14798, 16310, 17644, 18901, 20780]",blockworld,1
,,,"[u'C,E:A,B,D:', u'C,E,D:A,B:', u'C,E,D,B:A:', u'C,E,D,B::A', u'C,E,D::A,B', u'C,E::A,B,D', u'C:E:A,B,D', u':E,C:A,B,D', u'D:E,C:A,B', u'D:E:A,B,C', u':E,D:A,B,C', u':E,D,C:A,B', u':E,D,C,B:A', u':E,D,C,B,A:']",,340464,"[3807, 4776, 5982, 7863, 9127, 10729, 13007, 15346, 18206, 20214, 21454, 22894, 24726]",blockworld,1
,,,"[u'C,E:B,A,D:', u'C,E,D:B,A:', u'C,E,D:B:A', u'C,E,D::A,B', u'C,E::A,B,D', u'C:E:A,B,D', u'C:E,D:A,B', u':E,D,C:A,B', u':E,D,C,B:A', u':E,D,C,B,A:']",,359001,"[3656, 6633, 7633, 9394, 10336, 12313, 14352, 15488, 17340]",blockworld,1
